Course ID;Course Name;Course Short Name;Subject Name;University Name ;City Name;Teaching languages Instruction;Required German language;Required English language;Beginning;Duration of Programme;Tuition Fees;Course Details Link
4095;PhD Programme in Medical Life Science and Technology;PhD Programme in Medical Life Science and Technology;Medicine in general;Technical University Munich;München;English;None;None;Winter semester, Summer semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4095/
3952;PhD Programme in Optics & Photonics at the Karlsruhe School of Optics & Photonics (KSOP);PhD Programme in Optics & Photonics;Engineering in general;Karlsruhe Institute of Technology;Karlsruhe;English;None;None;Any time;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3952/
4133;PhD Programme Medical Research – International Health;PhD Programme Medical Research – International Health;Medicine in general;Ludwig-Maximilians-Universität München;München;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4133/
6878;PhD Programme of the Faculties of Veterinary Medicine and Medicine;PhD Programme of the Faculties of Vet. Medicine / Medicine;Medicine in general;Justus Liebig University Giessen;Gießen;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6878/
3875;PhD Programme of the International Max Planck Research School for Condensed Matter Science;IMPRS-CMS PhD Programme in Condensed Matter Science;Physics, Astronomy;Max Planck Institute for Solid State Research;Stuttgart;English;None;None;Any time;8 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3875/
8544;PhD Programme with tracks in Accounting, Economics, Finance, and Marketing;PhD Programme in Accounting, Economics, Finance, or Marketing;Business and Economics;Goethe University Frankfurt;Frankfurt am Main;English;None;None;Winter semester;8 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8544/
3967;PhD Programme: Infection Biology (ZIB);PhD Programme: Infection Biology (ZIB);Biology;Hannover Medical School;Hannover;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3967/
3968;PhD Programme: Regenerative Sciences;PhD Programme: Regenerative Sciences;Biology;Hannover Medical School;Hannover;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3968/
6346;PhD/MD-PhD Programme – Experimental Medicine;PhD/MD-PhD Programme – Experimental Medicine;Medicine in general;University of Tübingen;Tübingen;English;None;None;Any time;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6346/
5398;Philosophy & Economics (P&E);Philosophy & Economics (P&E);Philosophy;University of Bayreuth;Bayreuth;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5398/
6963;Photogrammetry and Geoinformatics;Photogrammetry and Geoinformatics;Surveying;Hochschule für Technik Stuttgart - University of Applied Sciences;Stuttgart;English;None;None;Winter semester;3 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6963/
6216;Photography (BA);Photography (BA);Design;SRH Berlin University of Applied Sciences;Berlin;English;None;None;Winter semester, Summer semester;7 semesters;4500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6216/
7010;Photography (MA);Photography (MA);Fine Arts;SRH Berlin University of Applied Sciences;Berlin;English;None;None;Winter semester, Summer semester;4 semesters;5400;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7010/
5220;Physical Engineering;Physical Engineering;Engineering in general;University of Applied Sciences Ravensburg-Weingarten;Weingarten;German, English;None;None;Summer semester;7 semesters;1500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5220/
3842;Physics;Physics;Physics, Astronomy;University of Bonn;Bonn;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3842/
4516;Physics;Physics;Physics, Astronomy;RWTH Aachen University;Aachen;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4516/
4859;Physics;Physics;Physics, Astronomy;University of Bayreuth;Bayreuth;English, German;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4859/
6245;Physics;Physics;Physics, Astronomy;Osnabrück University;Osnabrück;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6245/
7160;Physics;Physics;Physics, Astronomy;Brandenburg University of Technology Cottbus-Senftenberg;Cottbus;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7160/
3620;Physics (Applied and Engineering Physics);Physics (Applied and Engineering Physics);Physics, Astronomy;Technical University Munich;Garching b. München;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3620/
4817;Physics (MSc);Physics (MSc);Physics, Astronomy;University of Tübingen;Tübingen;English;None;None;Winter semester, Summer semester;2 semesters, 4 semesters;varied;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4817/
8318;Physics (MSc);Physics;Physics, Astronomy;Technische Universität Dresden;Dresden;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8318/
4810;Physics (PhD);Physics (PhD);Physics, Astronomy;University of Göttingen;Göttingen;German, English;None;None;Any time;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4810/
3829;Physics of Life;Physics of Life;Physics, Astronomy;Technische Universität Dresden;Dresden;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3829/
8360;Physics of the Earth and Atmosphere;Physics of the Earth and Atmosphere;Earth Sciences (excluding Geography);University of Cologne;Köln;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8360/
5203;Physics, Master of Science;MSc Physics;Physics, Astronomy;Friedrich Schiller University Jena;Jena;English, German;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5203/
8484;Planning Economic and Urban Neighbourhoods in Transition – The Case of Berlin;Planning Economic and Urban Neighbourhoods in Transition;Town and Country Planning;Humboldt-Universität zu Berlin;Berlin;English;None;B2;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8484/
